time;type;task;text
2026-03-03T07:51:00Z;in;Default;
2026-03-03T12:14:00Z;out;;
2026-03-03T13:02:00Z;in;Default;
2026-03-03T15:53:00Z;out;;
2026-03-05T08:30:00Z;in;Default;
2026-03-05T12:40:00Z;out;;
2026-03-05T14:29:00Z;in;Default;
2026-03-05T17:33:00Z;out;;
2026-03-06T07:59:00Z;in;Default;
2026-03-06T12:06:00Z;out;;
2026-03-06T13:30:00Z;in;Default;
2026-03-06T13:57:00Z;out;;
2026-03-12T08:30:00Z;in;Default;
2026-03-12T12:15:00Z;out;;
2026-03-12T13:21:00Z;in;Default;
2026-03-12T17:24:00Z;out;;
2026-03-13T08:12:00Z;in;Default;
2026-03-13T12:22:00Z;out;;
2026-03-13T15:42:00Z;in;Default;
2026-03-13T16:04:00Z;out;;
2026-03-16T08:07:00Z;in;Default;
2026-03-16T11:52:00Z;out;;
2026-03-16T13:05:00Z;in;Default;
2026-03-16T16:29:00Z;out;;
2026-03-16T21:20:00Z;in;Default;
2026-03-16T21:49:00Z;out;;
2026-03-17T07:46:00Z;in;Default;
2026-03-17T12:05:00Z;out;;
2026-03-17T12:55:00Z;in;Default;
2026-03-17T16:21:00Z;out;;
2026-03-19T08:07:00Z;in;Default;
2026-03-19T12:15:00Z;out;;
2026-03-19T13:15:00Z;in;Default;
2026-03-19T15:41:00Z;out;;
2026-03-19T17:42:00Z;in;Default;
2026-03-19T18:47:00Z;out;;
2026-03-20T07:52:00Z;in;Default;
2026-03-20T12:46:00Z;out;;
2026-03-23T07:49:00Z;in;Default;
2026-03-23T12:07:00Z;out;;
2026-03-23T13:03:00Z;in;Default;
2026-03-23T15:32:00Z;out;;
2026-03-23T15:40:00Z;in;Default;
2026-03-23T16:35:00Z;out;;
2026-03-24T07:40:00Z;in;Default;
2026-03-24T12:20:00Z;out;;
2026-03-24T13:24:00Z;in;Default;
2026-03-24T16:35:00Z;out;;
2026-03-26T07:52:00Z;in;Default;
2026-03-26T12:00:00Z;out;;
2026-03-26T13:04:00Z;in;Default;
2026-03-26T16:36:00Z;out;;
2026-04-07T08:38:00+01:00;in;Default;
2026-04-07T12:07:00+01:00;out;;
2026-04-07T13:48:00+01:00;in;Default;
2026-04-07T17:08:00+01:00;out;;
2026-04-09T08:05:00+01:00;in;Default;
